loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type,fully_missing_test_col
L100000,1,2023-08-01,2023-07-01,1,239,350000.0,-348250.0,7.152,740-780,70-80,<20,GA,purchase,primary,single_family,ServicerA,current,0,0,0,0,,2023-08-03,LOS1,complete,0,0,1,0,current,1,negative_balance,
L100000,2,2023-09-01,2023-07-01,2,238,350000.0,0.0,7.152,740-780,70-80,<20,GA,purchase,primary,single_family,ServicerA,current,0,0,0,0,,2023-09-03,ServicerFeed,complete,0,0,0,0,current,0,,
L100000,3,2023-10-01,2023-07-01,3,237,350000.0,0.0,7.152,740-780,70-80,<20,GA,purchase,primary,single_family,ServicerA,current,0,0,0,0,,2023-10-04,LOS1,complete,0,0,0,0,current,0,,
L100000,4,2023-11-01,2023-07-01,4,236,350000.0,0.0,,740-780,70-80,<20,GA,purchase,primary,single_family,ServicerA,current,0,0,0,0,,2023-11-02,LOS2,,0,0,0,0,current,0,,
L100000,5,2023-12-01,2023-07-01,5,235,350000.0,0.0,7.152,740-780,70-80,<20,GA,purchase,primary,single_family,ServicerA,current,0,0,0,0,,2023-12-02,ServicerFeed,pending,0,0,0,0,current,0,,
L100000,6,2024-01-01,2023-07-01,6,234,350000.0,0.0,7.152,740-780,70-80,<20,GA,purchase,primary,single_family,ServicerA,current,0,0,0,0,,2024-01-03,LOS1,missing,0,0,0,0,current,0,,
L100000,7,2024-02-01,2023-07-01,7,233,350000.0,0.0,,740-780,70-80,<20,GA,purchase,primary,single_family,ServicerA,current,0,0,0,0,,2024-02-05,ServicerFeed,complete,0,0,0,0,current,0,,
L100000,8,2024-03-01,2023-07-01,8,232,350000.0,0.0,,740-780,70-80,<20,GA,purchase,primary,single_family,ServicerA,current,0,0,0,0,,2024-03-03,LOS1,pending,0,0,0,0,current,0,,
L100000,9,2024-04-01,2023-07-01,9,231,350000.0,0.0,7.152,740-780,70-80,<20,GA,purchase,primary,single_family,ServicerA,current,0,0,0,0,,2024-04-05,LOS1,complete,0,0,0,0,current,0,,
L100000,10,2024-05-01,2023-07-01,10,230,350000.0,0.0,,740-780,70-80,<20,GA,purchase,primary,single_family,ServicerA,current,0,0,0,0,,2024-05-04,ServicerFeed,pending,0,0,0,0,current,0,,
L100000,11,2024-06-01,2023-07-01,11,229,350000.0,0.0,,740-780,70-80,<20,GA,purchase,primary,single_family,ServicerA,current,0,0,0,0,,2024-06-05,LOS2,pending,0,0,0,0,current,1,missing_rate,
L100000,12,2024-07-01,2023-07-01,12,228,350000.0,0.0,7.152,740-780,70-80,<20,GA,purchase,primary,single_family,ServicerA,delinquent_90_plus,120,0,0,0,,2024-07-01,LOS2,complete,0,0,0,0,delinquent,0,,
L100002,1,2024-01-01,2023-12-01,1,359,250000.0,248750.0,8.225,740-780,80-90,36-43,FL,purchase,primary,single_family,ServicerC,current,0,0,0,0,,2024-01-05,LOS1,,0,0,0,0,current,0,,
L100002,2,2024-02-01,2023-12-01,2,358,250000.0,247506.25,,740-780,80-90,36-43,FL,purchase,primary,single_family,ServicerC,current,0,0,0,0,,2024-02-05,LOS1,complete,0,0,0,0,current,0,,
L100002,3,2024-03-01,2023-12-01,3,357,250000.0,246268.72,8.225,740-780,80-90,36-43,FL,purchase,primary,single_family,ServicerC,current,0,0,0,0,,2024-03-04,ServicerFeed,complete,0,0,0,0,current,0,,
L100002,4,2024-04-01,2023-12-01,4,356,250000.0,245037.38,,740-780,80-90,36-43,FL,purchase,primary,single_family,ServicerC,current,0,0,0,0,,2024-04-05,LOS2,complete,0,0,0,0,current,0,,
L100002,5,2024-05-01,2023-12-01,5,355,250000.0,243812.19,8.225,740-780,80-90,36-43,FL,purchase,primary,single_family,ServicerC,current,0,0,0,0,,2024-05-04,ServicerFeed,complete,0,1,0,0,current,0,,
L100002,6,2024-06-01,2023-12-01,6,354,250000.0,243568.38,,740-780,80-90,36-43,FL,purchase,primary,single_family,ServicerC,delinquent_30_60,60,0,0,0,,2024-06-02,LOS1,complete,0,0,0,0,delinquent,0,,
L100002,7,2024-07-01,2023-12-01,7,353,250000.0,243324.81,,740-780,80-90,36-43,FL,purchase,primary,single_family,ServicerC,delinquent_30_60,30,0,0,0,,2024-07-04,LOS1,pending,0,0,0,0,delinquent,0,,
L100002,8,2024-08-01,2023-12-01,8,352,250000.0,242108.18,,740-780,80-90,36-43,FL,purchase,primary,single_family,ServicerC,current,0,0,0,0,,2024-08-05,LOS1,complete,0,0,0,0,current,0,,
L100002,9,2024-09-01,2023-12-01,9,351,250000.0,240897.64,8.225,740-780,80-90,36-43,FL,purchase,primary,single_family,ServicerC,current,0,0,0,0,,2024-09-03,ServicerFeed,complete,0,0,0,0,current,0,,
L100002,10,2024-10-01,2023-12-01,10,350,250000.0,239693.15,,740-780,80-90,36-43,FL,purchase,primary,single_family,ServicerC,current,0,0,0,0,,2024-10-03,LOS1,complete,0,1,0,0,current,0,,
L100002,11,2024-11-01,2023-12-01,11,349,250000.0,238494.69,,740-780,80-90,36-43,FL,purchase,primary,single_family,ServicerC,current,0,0,0,0,,2024-11-03,ServicerFeed,complete,0,0,0,0,current,0,,
L100002,12,2024-12-01,2023-12-01,12,348,250000.0,-237302.22,,740-780,80-90,36-43,FL,purchase,primary,single_family,ServicerC,current,0,0,0,0,,2024-12-01,LOS1,complete,0,0,0,0,current,1,negative_balance,
L100003,1,2023-04-01,2023-03-01,1,179,150000.0,149250.0,6.509,700-740,95+,50+,FL,purchase,primary,single_family,ServicerD,current,0,0,0,0,,2023-04-05,LOS1,pending,1,0,0,0,current,0,,
L100003,2,2023-05-01,2023-03-01,2,178,150000.0,148503.75,6.509,700-740,95+,50+,FL,purchase,primary,single_family,ServicerD,current,0,0,0,0,,2023-05-03,LOS2,complete,0,0,0,0,current,0,,
L100003,3,2023-06-01,2023-03-01,3,177,150000.0,148355.25,,700-740,95+,50+,FL,purchase,primary,single_family,ServicerD,delinquent_30_60,30,0,0,0,,2023-06-03,LOS1,complete,0,0,0,0,delinquent,0,,
L100003,4,2023-07-01,2023-03-01,4,176,150000.0,147613.47,6.509,700-740,95+,50+,FL,purchase,primary,single_family,ServicerD,current,0,0,0,0,,2023-07-05,LOS2,complete,0,0,0,0,current,0,,
L100003,5,2023-08-01,2023-03-01,5,175,150000.0,146875.4,6.509,700-740,95+,50+,FL,purchase,primary,single_family,ServicerD,current,0,0,0,0,,2023-08-05,LOS2,complete,0,0,1,0,current,0,,
